sep=;
Version CSV1|Tool CLUSTERCONTROLLER|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 2

;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901501309 (Com Gateway SN: 1901501309)
01.06.2019 16:50;1117,03;132;109,23;106,68;0,00;1008;49,99;1,00;3000,00;744,06;685,45;1,165;0,319;0;23,1;21,5;49;224;226,48;224,77;1,478;1,478;1,534;1,534;1,484;1,484;840;208;Ok;NonePrio;None;None;0;0;0;2,1;0;0,10;2;145,40;-376;49,95;223,06;0;0;0,779;0,779;1,429;1,429;1,65;1,65;Ok;0,10;2;145,40;-361;49,96;223,04;0;0;0,879;0,879;1,336;1,336;0,579;0,579;Ok;0,40;2;145,40;-444;49,94;222,94;0;0;2,108;2,108;1,346;1,346;1,554;1,554;Ok;0;23,1;21,5;49;Ok;21,1;22,5;925,72;120;81,53;79,65;0,00;1008;49,99;1,00;3000,00;744,06;685,45;1,165;0,319;0,962;224;226,48;224,77;1,478;1,478;1,534;1,534;1,484;1,484;840;208;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 16:55;1117,08;132;109,31;106,77;0,00;704;50,1;1,00;3000,00;739,96;546,14;0,745;0,407;0;21,9;20,9;35;223,85;226,18;224,39;1,033;1,033;1,095;1,095;1,029;1,029;550;220;Ok;NonePrio;None;None;0;0;0;2,1;0;0,10;2;145,50;-364;50,04;222,88;0;0;0,707;0,707;1,386;1,386;1,664;1,664;Ok;0,10;2;145,50;-357;50,05;222,86;0;0;0,793;0,793;1,386;1,386;0,629;0,629;Ok;0,40;2;145,50;-438;50,05;222,99;0;0;1,854;1,854;1,385;1,385;1,615;1,615;Ok;0;21,9;20,9;35;Ok;20,5;21,2;925,77;120;81,61;79,74;0,00;704;50,1;1,00;3000,00;739,96;546,14;0,745;0,407;0,56;223,85;226,18;224,39;1,033;1,033;1,095;1,095;1,029;1,029;550;220;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 17:00;1117,12;132;109,40;106,85;0,00;415;50,01;1,00;3000,00;690,14;513,68;0,466;0,262;0;20,6;20,7;19;222,51;225,02;223,38;0,64;0,64;0,7;0,7;0,629;0,629;321;134;Ok;NonePrio;None;None;0;0;0;2,1;0;0,10;2;145,60;-359;49,96;221,53;0;0;0,736;0,736;1,464;1,464;1,722;1,722;Ok;0,10;2;145,60;-352;49,98;221,55;0;0;0,843;0,843;1,472;1,472;0,622;0,622;Ok;0,40;2;145,60;-439;49,98;221,82;0;0;1,877;1,877;1,354;1,354;1,639;1,639;Ok;0;20,6;20,7;19;Ok;20,4;19,8;925,81;120;81,70;79,82;0,00;415;50,01;1,00;3000,00;690,14;513,68;0,466;0,262;0,337;222,51;225,02;223,38;0,64;0,64;0,7;0,7;0,629;0,629;321;134;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 17:05;1117,13;132;109,48;106,93;0,00;153;50,02;1,00;3000,00;669,58;466,84;0,269;0,105;0;19,2;20,4;13;222,2;224,04;222,42;0,328;0,328;0,379;0,379;0,303;0,303;179;47;Ok;NonePrio;None;None;0;0;0;2,1;0;0,10;2;145,70;-347;49,99;221,21;0;0;0,836;0,836;1,557;1,557;1,957;1,957;Ok;0,10;2;145,70;-351;49,99;221,06;0;0;0,972;0,972;1,443;1,443;0,729;0,729;Ok;0,40;2;145,60;-442;49,99;221,3;0;0;2,154;2,154;1,377;1,377;1,669;1,669;Ok;0;19,2;20,4;13;Ok;20;18,5;925,82;120;81,78;79,91;0,00;153;50,02;1,00;3000,00;669,58;466,84;0,269;0,105;0,208;222,2;224,04;222,42;0,328;0,328;0,379;0,379;0,303;0,303;179;47;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 17:10;1117,13;132;109,56;107,02;0,00;44;49,91;1,00;3000,00;652,14;490,72;0,162;0,058;0;18,1;20;9;220,4;222,99;224,48;0,241;0,241;0,295;0,295;0,231;0,231;104;26;Ok;NonePrio;None;None;0;0;0;2,1;0;0,10;2;145,70;-346;49,89;219,3;0;0;0,743;0,743;1,364;1,364;1,8;1,8;Ok;0,10;2;145,70;-340;49,88;219,34;0;0;0,957;0,957;1,243;1,243;0,607;0,607;Ok;0,40;2;145,70;-434;49,87;219,49;0;0;2,069;2,069;1,323;1,323;1,615;1,615;Ok;0;18,1;20;9;Ok;20,1;17,5;925,82;120;81,86;79,99;0,00;44;49,91;1,00;3000,00;652,14;490,72;0,162;0,058;0,114;220,4;222,99;224,48;0,241;0,241;0,295;0,295;0,231;0,231;104;26;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 17:15;1117,13;133;109,65;107,07;0,00;10;49,9;0,00;3000,00;616,93;568,55;0,077;0,025;0;17,2;19,8;5;220,27;222,59;224,47;0,177;0,177;0,219;0,219;0,192;0,192;43;12;Ok;NonePrio;None;None;0;0;0;2,1;0;0,10;2;145,80;-344;49,89;219,33;0;0;0,8;0,8;1,322;1,322;1,722;1,722;Ok;0,10;2;145,80;-334;49,86;219,34;0;0;0,736;0,736;1,236;1,236;0,607;0,607;Ok;0,40;2;145,80;-427;49,88;219,29;0;0;2,008;2,008;1,323;1,323;1,585;1,585;Ok;0;17,2;19,8;5;Ok;19,7;16,7;925,82;121;81,94;80,04;0,00;10;49,9;0,00;3000,00;616,93;568,55;0,077;0,025;0;220,27;222,59;224,47;0,177;0,177;0,219;0,219;0,192;0,192;43;12;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 17:20;1117,13;133;109,73;107,07;0,00;0;49,92;0,00;3000,00;708,05;694,56;0;0;0;16,4;19,6;3;220,84;223,57;225,56;0;0;0;0;0;0;0;0;Ok;NonePrio;None;None;0;0;0;2,1;0;0,10;2;145,90;-353;49,79;219,31;0;0;0,757;0,757;1,514;1,514;1,814;1,814;Ok;0,10;2;145,90;-331;49,78;219,24;0;0;0,857;0,857;1,443;1,443;0,679;0,679;Ok;0,40;2;145,90;-428;49,79;219,64;0;0;2,15;2,15;1,357;1,357;1,636;1,636;Ok;0;16,4;19,6;3;Ok;19,8;16;925,82;121;82,03;80,04;0,00;0;49,92;0,00;3000,00;708,05;694,56;0;0;0;220,84;223,57;225,56;0;0;0;0;0;0;0;0;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 17:25;1117,13;133;109,81;107,07;0,00;0;50,07;0,00;3000,00;677,27;676,47;0;0;0;15,7;19,6;1;221,38;223,3;225,38;0;0;0;0;0;0;0;0;Ok;NonePrio;None;None;0;0;0;2,1;0;0,10;2;146,00;-349;50,04;220,34;0;0;0,922;0,922;1,722;1,722;2,1;2,1;Ok;0,10;2;146,00;-330;50,04;220,29;0;0;0,979;0,979;1,55;1,55;0,772;0,772;Ok;0,40;2;146,00;-422;50,04;220,1;0;0;2,246;2,246;1,354;1,354;1,677;1,677;Ok;0;15,7;19,6;1;Ok;19,2;15,3;925,82;121;82,11;80,04;0,00;0;50,07;0,00;3000,00;677,27;676,47;0;0;0;221,38;223,3;225,38;0;0;0;0;0;0;0;0;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 17:30;1117,13;133;109,87;107,07;0,00;-1075;49,97;;;;;;;0;15;19,4;0;219,97;0;0;1,44;1,44;1,551;1,551;1,546;1,546;;;Ok;NonePrio;None;None;0;0;0;2,1;0;0,10;2;146,10;-339;49,98;219,91;0;0;0,957;0,957;1,707;1,707;2,072;2,072;Ok;0,10;2;146,10;-321;49,97;219,74;0;0;1,086;1,086;1,607;1,607;0,822;0,822;Ok;0,40;2;146,10;-415;49,98;220,27;0;0;2,277;2,277;1,339;1,339;1,746;1,746;Ok;0;15;19,4;0;Ok;19,6;14,7;925,82;121;82,17;80,04;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 17:35;1117,13;133;109,87;107,07;0,00;-763;50,12;;;;;;;0;14,5;19,2;0;221,98;0;0;1,34;1,34;1,378;1,378;1,359;1,359;;;Ok;NonePrio;None;None;0;0;0;2,1;0;0,10;2;146,20;-79;50,12;221,29;0;0;1,007;1,007;1,486;1,486;1,872;1,872;Ok;0,10;2;146,20;-288;50,11;222,18;0;0;0,957;0,957;1,564;1,564;0,707;0,707;Ok;0,40;2;146,10;-396;50,15;222,47;0;0;2,057;2,057;1,086;1,086;1,5;1,5;Ok;0;14,5;19,2;0;Ok;19;14,2;925,82;121;82,17;80,04;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 17:40;1117,13;133;109,87;107,07;0,00;290;49,91;;;;;;;0;14,2;18,9;0;229,82;0;0;1,347;1,347;1,169;1,169;1,202;1,202;;;Ok;NonePrio;None;None;0;0;0;2,1;0;0,10;2;146,20;474;49,91;229,77;0;0;1,129;1,129;1,686;1,686;2,029;2,029;Ok;0,10;2;146,20;40;49,91;229,77;0;0;0,907;0,907;1,407;1,407;0,464;0,464;Ok;0,40;2;146,20;-224;49,91;229,94;0;0;2,007;2,007;0,414;0,414;1,114;1,114;Ok;0;14,2;18,9;0;Ok;18,8;14;925,82;121;82,17;80,04;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 17:45;1117,13;133;109,87;107,07;0,00;292;49,91;;;;;;;0;13,8;19,3;0;229,81;0;0;1,333;1,333;1,164;1,164;1,197;1,197;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,20;2;146,30;459;49,93;229,76;0;0;1,1;1,1;1,679;1,679;2;2;Ok;0,10;2;146,30;24;49,9;229,77;0;0;0,9;0,9;1,422;1,422;0,493;0,493;Ok;0,40;2;146,30;-191;49,92;229,91;0;0;2;2;0,392;0,392;1,1;1,1;Ok;0;13,8;19,3;0;Ok;19,4;13,6;925,82;121;82,17;80,04;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 17:50;1117,13;133;109,87;107,07;0,00;284;49,9;;;;;;;0;13,5;19,3;0;229,83;0;0;1,333;1,333;1,154;1,154;1,202;1,202;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,20;2;146,40;459;49,9;229,76;0;0;1,1;1,1;1,664;1,664;2;2;Ok;0,10;2;146,40;24;49,9;229,78;0;0;0,9;0,9;1,4;1,4;0,493;0,493;Ok;0,40;2;146,40;-199;49,9;229,96;0;0;2;2;0,4;0,4;1,115;1,115;Ok;0;13,5;19,3;0;Ok;19,5;13,3;925,82;121;82,17;80,04;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
